fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,prediccion
6 jun 2024,35.11,35.51,35.06,35.32,29.41,284.5,3.4972231841848673,34.82126822064303
6 mar 2025,41.5,42.56,41.49,41.58,37.45,263.8,4.201675856131679,35.30769610655758
6 may 2025,40.07,41.59,40.07,41.19,41.19,427.9,4.059156316280472,35.209285693435355
6 nov 2024,32.25,32.41,31.64,32.26,28.33,133.0,4.090992544603285,35.23126875894884
6 sept 2024,32.99,33.0,32.14,32.18,27.55,208.4,4.632351454714967,35.60507963461618
7 abr 2025,38.81,40.49,37.37,37.59,37.08,,4.598168113499093,35.581475876601914
7 ago 2024,31.81,31.81,30.57,30.73,26.3,182.9,4.429915349078368,35.46529655078536
7 ene 2025,32.38,32.88,32.38,32.57,29.33,259.3,2.626981157146043,34.220362004648926
7 feb 2025,39.86,40.0,39.24,39.38,35.46,229.6,3.7643790988687855,35.00574063726419
7 jun 2024,35.31,36.07,35.16,35.85,29.85,482.6,3.5532351456102735,34.85994474366166
7 mar 2025,41.5,42.22,41.38,41.64,37.5,239.6,4.549409851837921,35.547808067414444
7 may 2025,41.38,41.42,40.57,40.72,40.72,322.6,3.7634651586004644,35.0051095572069
7 nov 2024,32.65,33.09,32.3,32.79,28.79,196.7,3.684091475520067,34.95030165541933
7 oct 2024,31.37,31.46,31.0,31.08,27.29,216.2,4.683901151817775,35.64067494311569
8 abr 2025,38.84,39.07,35.65,36.11,35.62,,4.677485435573249,35.636244860849374
8 ago 2024,31.01,31.7,31.01,31.57,27.02,473.2,4.014826272704732,35.178675589679976
8 ene 2025,32.52,32.73,32.32,32.4,29.18,212.8,1.974018743578798,33.76948838451571
8 jul 2024,33.21,33.68,33.0,33.41,28.6,205.4,1.9933965987731588,33.782868884741085
8 may 2025,40.73,41.76,40.73,41.18,41.18,304.0,3.8876638229147455,35.09086931953252
8 nov 2024,32.6,32.83,32.04,32.22,28.29,275.3,3.98158636726622,35.155723278510834
8 oct 2024,30.84,31.27,30.65,31.19,27.39,421.6,4.046387277560099,35.20046861209369
9 abr 2025,35.77,39.19,35.44,38.98,38.45,890.4,4.416483895589342,35.45602206892788
9 ago 2024,31.41,32.05,31.41,31.57,27.02,379.9,4.6914358143323325,35.64587766304847
9 dic 2024,33.16,33.25,32.65,32.69,28.7,196.3,3.2109733726707193,34.623611378383536
9 jul 2024,33.34,33.72,33.34,33.59,28.75,233.6,3.1504571096906435,34.58182461393917
9 may 2025,41.2,41.74,40.91,41.16,41.16,334.6,4.2156577185535316,35.31735064837401
9 oct 2024,30.98,31.78,30.84,31.57,27.72,324.8,4.027788475081609,35.1876260514357
9 sept 2024,32.21,32.37,31.37,31.42,26.9,358.3,4.051978529064566,35.204329397576146
